index  PLAYER	2022/23 	2022/23(*)
400.	Moritz Wagner	$1,878,720	$1,934,502
400.	Thanasis Antetokounmpo	$1,878,720	$1,934,502
400.	Wenyen Gabriel	$1,878,720	$1,934,502
404.	Oshae Brissett	$1,846,738	$1,901,570
405.	Anthony Gill	$1,836,090	$1,890,606
405.	Ryan Arcidiacono	$1,836,090	$1,890,606
405.	Isaiah Joe	$1,836,090	$1,890,606
405.	Justin Jackson	$1,836,090	$1,890,606
405.	Nathan Knight	$1,836,090	$1,890,606
410.	Max Strus	$1,815,677	$1,869,587
410.	Gabe Vincent	$1,815,677	$1,869,587
410.	Javonte Green	$1,815,677	$1,869,587
413.	Herb Jones	$1,785,000	$1,837,999
414.	Tre Jones	$1,782,621	$1,835,550
414.	Paul Reed	$1,782,621	$1,835,550
414.	Naji Marshall	$1,782,621	$1,835,550
414.	Xavier Tillman	$1,782,621	$1,835,550
414.	KJ Martin	$1,782,621	$1,835,550
414.	Tyrell Terry	$1,782,621	$1,835,550
414.	Lamar Stevens	$1,782,621	$1,835,550
414.	Nick Richards	$1,782,621	$1,835,550
422.	Omer Yurtseven	$1,752,638	$1,804,676
422.	Haywood Highsmith	$1,752,638	$1,804,676
424.	Leandro Bolmaro	$1,709,300	$1,760,052
425.	Terry Taylor	$1,703,902	$1,754,493
426.	Jared Butler	$1,674,655	$1,724,377
427.	Jericho Sims	$1,639,842	$1,688,531
428.	Kessler Edwards	$1,637,966	$1,686,600
428.	Sam Hauser	$1,637,966	$1,686,600
430.	Isaiah Todd	$1,575,000	$1,621,764
431.	Dalano Banton	$1,563,518	$1,609,941
431.	Trendon Watford	$1,563,518	$1,609,941
431.	Greg Brown	$1,563,518	$1,609,941
431.	Jock Landale	$1,563,518	$1,609,941
431.	Aaron Wiggins	$1,563,518	$1,609,941
431.	Miles McBride	$1,563,518	$1,609,941
431.	Jose Alvarado	$1,563,518	$1,609,941
431.	Austin Reaves	$1,563,518	$1,609,941
431.	BJ Boston	$1,563,518	$1,609,941
431.	Jason Preston	$1,563,518	$1,609,941
431.	Daishen Nix	$1,563,518	$1,609,941
431.	Isaiah Livers	$1,563,518	$1,609,941
431.	Ayo Dosunmu	$1,563,518	$1,609,941
431.	Marko Simonovic	$1,563,518	$1,609,941
431.	JT Thor	$1,563,518	$1,609,941
431.	Vit Krejci	$1,563,518	$1,609,941
447.	Kenneth Lofton	$1,505,966	$1,550,680
448.	Christian Koloko	$1,500,000	$1,544,537
449.	Bryce McGowens	$1,461,055	$1,504,436
450.	Eric Bledsoe	$1,300,000	$1,338,599
451.	Jordan Goodwin	$1,280,206	$1,318,217
452.	Kennedy Chandler	$1,200,000	$1,235,630
453.	Noah Vonleh	$1,160,955	$1,195,425
454.	Sandro Mamukelashvili	$1,116,112	$1,149,251
455.	Sam Merrill	$1,105,522	$1,138,346
456.	Zhaire Smith	$1,068,200	$1,099,916
457.	Jabari Walker	$1,017,781	$1,048,000
457.	Josh Minott	$1,017,781	$1,048,000
457.	Max Christie	$1,017,781	$1,048,000
457.	Ryan Rollins	$1,017,781	$1,048,000
457.	Jaden Hardy	$1,017,781	$1,048,000
457.	Tyrese Martin	$1,017,781	$1,048,000
463.	Eugene Omoruyi	$1,013,119	$1,043,199
464.	Kris Dunn	$1,000,001	$1,029,692
465.	Kyle Singler	$999,200	$1,028,868
466.	Ishmail Wainright	$980,057	$1,009,156
467.	Admiral Schofield	$877,940	$904,007
468.	Justin Champagnie	$853,241	$878,574
469.	Trevelin Queen	$838,891	$863,798
470.	Moses Brown	$824,041	$848,506
471.	Matt Ryan	$806,097	$830,030
472.	DaQuan Jeffries	$799,403	$823,138
473.	PJ Dozier	$784,654	$807,951
474.	Cody Zeller	$743,922	$766,010
475.	Meyers Leonard	$713,558	$734,744
476.	Nik Stauskas	$702,311	$723,163
477.	Anthony Lamb	$694,878	$715,510
478.	Michael Carter-Williams	$652,829	$672,212
479.	DJ Augustin	$633,938	$652,760
480.	Duane Washington Jr	$628,802	$647,471
481.	Carlik Jones	$612,162	$630,338
482.	Juwan Morgan	$576,230	$593,339
483.	Malik Fitts	$555,217	$571,702
484.	Luka Samanic	$538,317	$554,300
485.	David Duke	$531,283	$547,057
486.	Trevor Keels	$520,589	$536,046
487.	Dereon Seabron	$511,816	$527,012
488.	Johnny Juzang	$508,891	$524,000
488.	Micah Potter	$508,891	$524,000
488.	Ron Harper Jr	$508,891	$524,000
488.	Jeff Dowtin	$508,891	$524,000
488.	Julian Champagnie	$508,891	$524,000
488.	Dominick Barlow	$508,891	$524,000
488.	Neemias Queta	$508,891	$524,000
488.	Keon Ellis	$508,891	$524,000
